12288,92650
75522,203360
42885,164750
10248,128330
73482,256150
40845,145960
8209,17150
71442,155210
38806,139730
6169,13370
69403,146170
36766,128640
4129,8940
100000,202420
67363,157130
34726,121760
2089,6190
97960,207210
65323,160020
32686,113860
95920,194810
50,140
63283,193680
30646,166040
93880,165350
61243,167660
28607,234420
91840,190640
59204,220440
26567,192250
89801,211900
57164,202500
24527,245770
87761,238620
55124,175650
22487,222930
85721,216190
53084,151290
20447,125060
83681,211290
51044,140450
18408,122100
81641,225750
49005,129380
16368,96130
79602,206990
46965,521140
14328,97630
77562,217360
44925,151380
