12288,194270
75522,697790
42885,216940
10248,47200
73482,590510
40845,180530
8209,39340
71442,809240
38806,208480
6169,29680
69403,456510
36766,188120
4129,20500
100000,526150
67363,388870
34726,167910
2089,8500
97960,518210
65323,440120
32686,158810
95920,539270
50,230
63283,740740
30646,149790
93880,488810
61243,607040
28607,140790
91840,457780
59204,596430
26567,151170
89801,413440
57164,604220
24527,117340
87761,446650
55124,269760
22487,89710
85721,422100
53084,261830
20447,81560
83681,420790
51044,256250
18408,91360
81641,401410
49005,241170
16368,76900
79602,389050
46965,231220
14328,67690
77562,428640
44925,204280
